frame,abstime,reltime,Line 1 [C]
0,2018-06-13 14:25:36.924000,0.000000,2.836422e+001
1,2018-06-13 14:25:36.957000,0.033000,2.836422e+001
2,2018-06-13 14:25:36.990000,0.066000,2.835961e+001
3,2018-06-13 14:25:37.023000,0.099000,2.836714e+001
4,2018-06-13 14:25:37.056000,0.132000,2.835376e+001
5,2018-06-13 14:25:37.089000,0.165000,2.834833e+001
6,2018-06-13 14:25:37.123000,0.199000,2.834122e+001
7,2018-06-13 14:25:37.156000,0.232000,2.833201e+001
8,2018-06-13 14:25:37.190000,0.266000,2.831820e+001
9,2018-06-13 14:25:37.223000,0.299000,2.831695e+001
10,2018-06-13 14:25:37.256000,0.332000,2.831444e+001
11,2018-06-13 14:25:37.289000,0.365000,2.830272e+001
12,2018-06-13 14:25:37.322000,0.398000,2.828388e+001
13,2018-06-13 14:25:37.356000,0.432000,2.828430e+001
14,2018-06-13 14:25:37.389000,0.465000,2.827677e+001
15,2018-06-13 14:25:37.423000,0.499000,2.827551e+001
16,2018-06-13 14:25:37.457000,0.533000,2.827300e+001
17,2018-06-13 14:25:37.490000,0.566000,2.826588e+001
18,2018-06-13 14:25:37.523000,0.599000,2.825876e+001
19,2018-06-13 14:25:37.556000,0.632000,2.824285e+001
20,2018-06-13 14:25:37.590000,0.666000,2.823656e+001
21,2018-06-13 14:25:37.623000,0.699000,2.825374e+001
22,2018-06-13 14:25:37.656000,0.732000,2.824913e+001
23,2018-06-13 14:25:37.690000,0.766000,2.824829e+001
24,2018-06-13 14:25:37.723000,0.799000,2.824201e+001
25,2018-06-13 14:25:37.756000,0.832000,2.823950e+001
26,2018-06-13 14:25:37.789000,0.865000,2.824913e+001
27,2018-06-13 14:25:37.822000,0.898000,2.824369e+001
28,2018-06-13 14:25:37.856000,0.932000,2.825332e+001
29,2018-06-13 14:25:37.889000,0.965000,2.824788e+001
30,2018-06-13 14:25:37.923000,0.999000,2.825793e+001
31,2018-06-13 14:25:37.956000,1.032000,2.825500e+001
32,2018-06-13 14:25:37.989000,1.065000,2.825793e+001
33,2018-06-13 14:25:38.022000,1.098000,2.826128e+001
34,2018-06-13 14:25:38.055000,1.131000,2.826630e+001
35,2018-06-13 14:25:38.089000,1.165000,2.826714e+001
36,2018-06-13 14:25:38.122000,1.198000,2.826337e+001
37,2018-06-13 14:25:38.156000,1.232000,2.825374e+001
38,2018-06-13 14:25:38.189000,1.265000,2.825416e+001
39,2018-06-13 14:25:38.222000,1.298000,2.825123e+001
40,2018-06-13 14:25:38.255000,1.331000,2.825249e+001
41,2018-06-13 14:25:38.288000,1.364000,2.826002e+001
42,2018-06-13 14:25:38.322000,1.398000,2.825709e+001
43,2018-06-13 14:25:38.355000,1.431000,2.826379e+001
44,2018-06-13 14:25:38.389000,1.465000,2.826379e+001
45,2018-06-13 14:25:38.422000,1.498000,2.825165e+001
46,2018-06-13 14:25:38.455000,1.531000,2.825039e+001
47,2018-06-13 14:25:38.488000,1.564000,2.825249e+001
48,2018-06-13 14:25:38.521000,1.597000,2.824704e+001
49,2018-06-13 14:25:38.555000,1.631000,2.825584e+001
50,2018-06-13 14:25:38.588000,1.664000,2.824663e+001
51,2018-06-13 14:25:38.622000,1.698000,2.825039e+001
52,2018-06-13 14:25:38.656000,1.732000,2.825793e+001
53,2018-06-13 14:25:38.689000,1.765000,2.824830e+001
54,2018-06-13 14:25:38.722000,1.798000,2.825165e+001
55,2018-06-13 14:25:38.755000,1.831000,2.824621e+001
56,2018-06-13 14:25:38.789000,1.865000,2.824830e+001
57,2018-06-13 14:25:38.822000,1.898000,2.824495e+001
58,2018-06-13 14:25:38.856000,1.932000,2.824202e+001
59,2018-06-13 14:25:38.890000,1.966000,2.824537e+001
60,2018-06-13 14:25:38.923000,1.999000,2.824411e+001
61,2018-06-13 14:25:38.956000,2.032000,2.823615e+001
62,2018-06-13 14:25:38.989000,2.065000,2.822778e+001
63,2018-06-13 14:25:39.022000,2.098000,2.821940e+001
64,2018-06-13 14:25:39.056000,2.132000,2.821605e+001
65,2018-06-13 14:25:39.089000,2.165000,2.822904e+001
66,2018-06-13 14:25:39.123000,2.199000,2.823155e+001
67,2018-06-13 14:25:39.156000,2.232000,2.825039e+001
68,2018-06-13 14:25:39.189000,2.265000,2.832784e+001
69,2018-06-13 14:25:39.222000,2.298000,2.843531e+001
70,2018-06-13 14:25:39.255000,2.331000,2.851804e+001
71,2018-06-13 14:25:39.289000,2.365000,2.864032e+001
72,2018-06-13 14:25:39.322000,2.398000,2.875079e+001
73,2018-06-13 14:25:39.356000,2.432000,2.887448e+001
74,2018-06-13 14:25:39.389000,2.465000,2.900178e+001
75,2018-06-13 14:25:39.422000,2.498000,2.911231e+001
76,2018-06-13 14:25:39.455000,2.531000,2.922772e+001
77,2018-06-13 14:25:39.489000,2.565000,2.931980e+001
78,2018-06-13 14:25:39.522000,2.598000,2.938941e+001
79,2018-06-13 14:25:39.555000,2.631000,2.942087e+001
80,2018-06-13 14:25:39.589000,2.665000,2.950942e+001
81,2018-06-13 14:25:39.623000,2.699000,2.954251e+001
82,2018-06-13 14:25:39.656000,2.732000,2.954206e+001
83,2018-06-13 14:25:39.689000,2.765000,2.952549e+001
84,2018-06-13 14:25:39.722000,2.798000,2.951140e+001
85,2018-06-13 14:25:39.756000,2.832000,2.952252e+001
86,2018-06-13 14:25:39.789000,2.865000,2.952168e+001
87,2018-06-13 14:25:39.822000,2.898000,2.951879e+001
88,2018-06-13 14:25:39.856000,2.932000,2.948609e+001
89,2018-06-13 14:25:39.889000,2.965000,2.947453e+001
90,2018-06-13 14:25:39.922000,2.998000,2.943438e+001
91,2018-06-13 14:25:39.955000,3.031000,2.940497e+001
92,2018-06-13 14:25:39.989000,3.065000,2.940373e+001
93,2018-06-13 14:25:40.022000,3.098000,2.936314e+001
94,2018-06-13 14:25:40.055000,3.131000,2.931880e+001
95,2018-06-13 14:25:40.089000,3.165000,2.929641e+001
96,2018-06-13 14:25:40.122000,3.198000,2.934033e+001
97,2018-06-13 14:25:40.155000,3.231000,2.933080e+001
98,2018-06-13 14:25:40.188000,3.264000,2.937632e+001
99,2018-06-13 14:25:40.222000,3.298000,2.940987e+001
100,2018-06-13 14:25:40.255000,3.331000,2.945545e+001
101,2018-06-13 14:25:40.288000,3.364000,2.948904e+001
102,2018-06-13 14:25:40.322000,3.398000,2.949900e+001
103,2018-06-13 14:25:40.356000,3.432000,2.951019e+001
104,2018-06-13 14:25:40.389000,3.465000,2.958714e+001
105,2018-06-13 14:25:40.422000,3.498000,2.961109e+001
106,2018-06-13 14:25:40.455000,3.531000,2.964913e+001
107,2018-06-13 14:25:40.489000,3.565000,2.966484e+001
108,2018-06-13 14:25:40.522000,3.598000,2.970742e+001
109,2018-06-13 14:25:40.556000,3.632000,2.970454e+001
110,2018-06-13 14:25:40.590000,3.666000,2.975696e+001
111,2018-06-13 14:25:40.623000,3.699000,2.977508e+001
112,2018-06-13 14:25:40.656000,3.732000,2.984145e+001
113,2018-06-13 14:25:40.689000,3.765000,2.988599e+001
114,2018-06-13 14:25:40.723000,3.799000,2.993091e+001
115,2018-06-13 14:25:40.756000,3.832000,3.001701e+001
116,2018-06-13 14:25:40.789000,3.865000,3.004660e+001
117,2018-06-13 14:25:40.823000,3.899000,3.006223e+001
118,2018-06-13 14:25:40.856000,3.932000,3.007332e+001
119,2018-06-13 14:25:40.889000,3.965000,3.005440e+001
120,2018-06-13 14:25:40.922000,3.998000,3.002934e+001
121,2018-06-13 14:25:40.956000,4.032000,3.002605e+001
122,2018-06-13 14:25:40.989000,4.065000,2.996802e+001
123,2018-06-13 14:25:41.022000,4.098000,2.996638e+001
124,2018-06-13 14:25:41.056000,4.132000,3.000632e+001
125,2018-06-13 14:25:41.089000,4.165000,3.007343e+001
126,2018-06-13 14:25:41.122000,4.198000,3.011827e+001
127,2018-06-13 14:25:41.155000,4.231000,3.014339e+001
128,2018-06-13 14:25:41.189000,4.265000,3.018413e+001
129,2018-06-13 14:25:41.222000,4.298000,3.025363e+001
130,2018-06-13 14:25:41.255000,4.331000,3.036903e+001
131,2018-06-13 14:25:41.289000,4.365000,3.050065e+001
132,2018-06-13 14:25:41.323000,4.399000,3.058496e+001
133,2018-06-13 14:25:41.356000,4.432000,3.070560e+001
134,2018-06-13 14:25:41.389000,4.465000,3.077741e+001
135,2018-06-13 14:25:41.422000,4.498000,3.088396e+001
136,2018-06-13 14:25:41.456000,4.532000,3.095373e+001
137,2018-06-13 14:25:41.489000,4.565000,3.115056e+001
138,2018-06-13 14:25:41.523000,4.599000,3.143262e+001
139,2018-06-13 14:25:41.557000,4.633000,3.161107e+001
140,2018-06-13 14:25:41.590000,4.666000,3.171594e+001
141,2018-06-13 14:25:41.623000,4.699000,3.181339e+001
142,2018-06-13 14:25:41.656000,4.732000,3.190304e+001
143,2018-06-13 14:25:41.690000,4.766000,3.199677e+001
144,2018-06-13 14:25:41.723000,4.799000,3.204214e+001
145,2018-06-13 14:25:41.756000,4.832000,3.211379e+001
146,2018-06-13 14:25:41.790000,4.866000,3.212411e+001
147,2018-06-13 14:25:41.823000,4.899000,3.212081e+001
148,2018-06-13 14:25:41.856000,4.932000,3.209705e+001
149,2018-06-13 14:25:41.889000,4.965000,3.205278e+001
150,2018-06-13 14:25:41.923000,4.999000,3.199274e+001
151,2018-06-13 14:25:41.956000,5.032000,3.196427e+001
152,2018-06-13 14:25:41.989000,5.065000,3.190431e+001
153,2018-06-13 14:25:42.023000,5.099000,3.189028e+001
154,2018-06-13 14:25:42.056000,5.132000,3.191545e+001
155,2018-06-13 14:25:42.089000,5.165000,3.195963e+001
156,2018-06-13 14:25:42.122000,5.198000,3.201161e+001
157,2018-06-13 14:25:42.155000,5.231000,3.207654e+001
158,2018-06-13 14:25:42.189000,5.265000,3.212979e+001
