frame,abstime,reltime,Line 1 [C]
0,2018-06-13 15:45:14.537000,0.000000,2.874053e+001
10,2018-06-13 15:45:14.870000,0.333000,2.870916e+001
20,2018-06-13 15:45:15.203000,0.666000,2.861856e+001
30,2018-06-13 15:45:15.537000,1.000000,2.855875e+001
40,2018-06-13 15:45:15.870000,1.333000,2.850459e+001
50,2018-06-13 15:45:16.203000,1.666000,2.847951e+001
60,2018-06-13 15:45:16.537000,2.000000,3.027419e+001
70,2018-06-13 15:45:16.869000,2.332000,3.057634e+001
80,2018-06-13 15:45:17.203000,2.666000,3.152794e+001
90,2018-06-13 15:45:17.535000,2.998000,3.327691e+001
100,2018-06-13 15:45:17.869000,3.332000,3.419778e+001
110,2018-06-13 15:45:18.203000,3.666000,3.548306e+001
120,2018-06-13 15:45:18.535000,3.998000,3.592810e+001
130,2018-06-13 15:45:18.869000,4.332000,3.638733e+001
140,2018-06-13 15:45:19.202000,4.665000,3.680260e+001
150,2018-06-13 15:45:19.536000,4.999000,3.691562e+001
160,2018-06-13 15:45:19.870000,5.333000,3.712421e+001
170,2018-06-13 15:45:20.202000,5.665000,3.720848e+001
180,2018-06-13 15:45:20.536000,5.999000,3.708020e+001
190,2018-06-13 15:45:20.869000,6.332000,3.699357e+001
200,2018-06-13 15:45:21.203000,6.666000,3.697506e+001
210,2018-06-13 15:45:21.536000,6.999000,3.694807e+001
220,2018-06-13 15:45:21.869000,7.332000,3.696030e+001
230,2018-06-13 15:45:22.202000,7.665000,3.694717e+001
240,2018-06-13 15:45:22.535000,7.998000,3.666271e+001
250,2018-06-13 15:45:22.869000,8.332000,3.644452e+001
260,2018-06-13 15:45:23.201000,8.664000,3.581344e+001
270,2018-06-13 15:45:23.536000,8.999000,3.493969e+001
280,2018-06-13 15:45:23.869000,9.332000,3.390525e+001
290,2018-06-13 15:45:24.201000,9.664000,3.308326e+001
300,2018-06-13 15:45:24.537000,10.000000,3.247882e+001
310,2018-06-13 15:45:24.869000,10.332000,3.199594e+001
320,2018-06-13 15:45:25.202000,10.665000,3.162566e+001
330,2018-06-13 15:45:25.536000,10.999000,3.131761e+001
340,2018-06-13 15:45:25.868000,11.331000,3.100750e+001
350,2018-06-13 15:45:26.203000,11.666000,3.078268e+001
360,2018-06-13 15:45:26.536000,11.999000,3.050866e+001
370,2018-06-13 15:45:26.868000,12.331000,3.023447e+001
380,2018-06-13 15:45:27.203000,12.666000,2.999723e+001
390,2018-06-13 15:45:27.535000,12.998000,2.975875e+001
400,2018-06-13 15:45:27.867000,13.330000,2.956707e+001
410,2018-06-13 15:45:28.202000,13.665000,2.941308e+001
420,2018-06-13 15:45:28.534000,13.997000,2.929243e+001
