frame,abstime,reltime,Line 1 [C]
1,2018-06-20 10:43:59.014000,0.000000,2.866332e+001
2,2018-06-20 10:43:59.089000,0.075000,2.865278e+001
3,2018-06-20 10:43:59.140000,0.126000,2.865784e+001
4,2018-06-20 10:43:59.203000,0.189000,2.866669e+001
5,2018-06-20 10:43:59.266000,0.252000,2.866542e+001
6,2018-06-20 10:43:59.330000,0.316000,2.866669e+001
7,2018-06-20 10:43:59.393000,0.379000,2.867217e+001
8,2018-06-20 10:43:59.456000,0.442000,2.868017e+001
9,2018-06-20 10:43:59.519000,0.505000,2.868481e+001
10,2018-06-20 10:43:59.577000,0.563000,2.867765e+001
11,2018-06-20 10:43:59.641000,0.627000,2.868186e+001
12,2018-06-20 10:43:59.702000,0.688000,2.867175e+001
13,2018-06-20 10:43:59.766000,0.752000,2.867217e+001
14,2018-06-20 10:43:59.829000,0.815000,2.866332e+001
15,2018-06-20 10:43:59.892000,0.878000,2.866163e+001
16,2018-06-20 10:43:59.956000,0.942000,2.866121e+001
17,2018-06-20 10:44:00.013000,0.999000,2.867048e+001
18,2018-06-20 10:44:00.076000,1.062000,2.866163e+001
19,2018-06-20 10:44:00.138000,1.124000,2.864562e+001
20,2018-06-20 10:44:00.201000,1.187000,2.865278e+001
21,2018-06-20 10:44:00.268000,1.254000,2.866459e+001
22,2018-06-20 10:44:00.327000,1.313000,2.865573e+001
23,2018-06-20 10:44:00.390000,1.376000,2.865320e+001
24,2018-06-20 10:44:00.453000,1.439000,2.865615e+001
25,2018-06-20 10:44:00.515000,1.501000,2.864182e+001
26,2018-06-20 10:44:00.577000,1.563000,2.863634e+001
27,2018-06-20 10:44:00.638000,1.624000,2.862538e+001
28,2018-06-20 10:44:00.700000,1.686000,2.861990e+001
29,2018-06-20 10:44:00.763000,1.749000,2.861442e+001
30,2018-06-20 10:44:00.826000,1.812000,2.860557e+001
31,2018-06-20 10:44:00.890000,1.876000,2.860008e+001
32,2018-06-20 10:44:00.953000,1.939000,2.859587e+001
33,2018-06-20 10:44:01.023000,2.009000,2.859460e+001
34,2018-06-20 10:44:01.079000,2.065000,2.859292e+001
35,2018-06-20 10:44:01.248000,2.234000,2.861021e+001
36,2018-06-20 10:44:01.276000,2.262000,2.861021e+001
37,2018-06-20 10:44:01.323000,2.309000,2.860515e+001
38,2018-06-20 10:44:01.387000,2.373000,2.860430e+001
39,2018-06-20 10:44:01.449000,2.435000,2.860515e+001
40,2018-06-20 10:44:01.585000,2.571000,2.861400e+001
41,2018-06-20 10:44:01.636000,2.622000,2.862791e+001
42,2018-06-20 10:44:01.698000,2.684000,2.863213e+001
43,2018-06-20 10:44:01.761000,2.747000,2.863592e+001
44,2018-06-20 10:44:01.843000,2.829000,2.863044e+001
45,2018-06-20 10:44:01.888000,2.874000,2.862876e+001
46,2018-06-20 10:44:01.951000,2.937000,2.862791e+001
47,2018-06-20 10:44:02.098000,3.084000,2.862918e+001
48,2018-06-20 10:44:02.141000,3.127000,2.862665e+001
49,2018-06-20 10:44:02.198000,3.184000,2.862833e+001
50,2018-06-20 10:44:02.261000,3.247000,2.861737e+001
51,2018-06-20 10:44:02.322000,3.308000,2.862117e+001
52,2018-06-20 10:44:02.430000,3.416000,2.863086e+001
53,2018-06-20 10:44:02.457000,3.443000,2.863550e+001
54,2018-06-20 10:44:02.509000,3.495000,2.863002e+001
55,2018-06-20 10:44:02.572000,3.558000,2.863929e+001
56,2018-06-20 10:44:02.635000,3.621000,2.863508e+001
57,2018-06-20 10:44:02.702000,3.688000,2.863592e+001
58,2018-06-20 10:44:02.762000,3.748000,2.864309e+001
59,2018-06-20 10:44:02.825000,3.811000,2.864435e+001
60,2018-06-20 10:44:02.888000,3.874000,2.865784e+001
61,2018-06-20 10:44:02.951000,3.937000,2.866206e+001
62,2018-06-20 10:44:03.014000,4.000000,2.865742e+001
63,2018-06-20 10:44:03.074000,4.060000,2.864983e+001
64,2018-06-20 10:44:03.137000,4.123000,2.865025e+001
65,2018-06-20 10:44:03.197000,4.183000,2.866248e+001
66,2018-06-20 10:44:03.259000,4.245000,2.865278e+001
67,2018-06-20 10:44:03.322000,4.308000,2.865068e+001
68,2018-06-20 10:44:03.390000,4.376000,2.865278e+001
69,2018-06-20 10:44:03.449000,4.435000,2.865826e+001
70,2018-06-20 10:44:03.512000,4.498000,2.865616e+001
71,2018-06-20 10:44:03.575000,4.561000,2.865068e+001
72,2018-06-20 10:44:03.633000,4.619000,2.864478e+001
73,2018-06-20 10:44:03.697000,4.683000,2.865026e+001
74,2018-06-20 10:44:03.758000,4.744000,2.863972e+001
75,2018-06-20 10:44:03.829000,4.815000,2.862665e+001
76,2018-06-20 10:44:03.884000,4.870000,2.862834e+001
77,2018-06-20 10:44:03.947000,4.933000,2.862454e+001
78,2018-06-20 10:44:04.011000,4.997000,2.863719e+001
79,2018-06-20 10:44:04.083000,5.069000,2.862623e+001
80,2018-06-20 10:44:04.324000,5.310000,2.862960e+001
81,2018-06-20 10:44:04.383000,5.369000,2.863339e+001
82,2018-06-20 10:44:04.446000,5.432000,2.863087e+001
83,2018-06-20 10:44:04.509000,5.495000,2.862665e+001
84,2018-06-20 10:44:04.583000,5.569000,2.862539e+001
85,2018-06-20 10:44:04.633000,5.619000,2.861569e+001
86,2018-06-20 10:44:04.696000,5.682000,2.860979e+001
87,2018-06-20 10:44:04.756000,5.742000,2.861021e+001
88,2018-06-20 10:44:04.819000,5.805000,2.861906e+001
89,2018-06-20 10:44:04.882000,5.868000,2.860894e+001
90,2018-06-20 10:44:04.946000,5.932000,2.862243e+001
91,2018-06-20 10:44:05.018000,6.004000,2.860726e+001
92,2018-06-20 10:44:05.071000,6.057000,2.860768e+001
93,2018-06-20 10:44:05.131000,6.117000,2.860852e+001
94,2018-06-20 10:44:05.194000,6.180000,2.861021e+001
95,2018-06-20 10:44:05.257000,6.243000,2.859840e+001
96,2018-06-20 10:44:05.320000,6.306000,2.858870e+001
97,2018-06-20 10:44:05.383000,6.369000,2.858448e+001
98,2018-06-20 10:44:05.446000,6.432000,2.856761e+001
99,2018-06-20 10:44:05.509000,6.495000,2.855538e+001
100,2018-06-20 10:44:05.573000,6.559000,2.856466e+001
101,2018-06-20 10:44:05.647000,6.633000,2.856550e+001
102,2018-06-20 10:44:05.692000,6.678000,2.855707e+001
103,2018-06-20 10:44:05.754000,6.740000,2.856171e+001
104,2018-06-20 10:44:05.821000,6.807000,2.856381e+001
105,2018-06-20 10:44:05.880000,6.866000,2.856550e+001
106,2018-06-20 10:44:05.947000,6.933000,2.857014e+001
107,2018-06-20 10:44:06.010000,6.996000,2.856761e+001
108,2018-06-20 10:44:06.068000,7.054000,2.857099e+001
109,2018-06-20 10:44:06.131000,7.117000,2.856382e+001
110,2018-06-20 10:44:06.195000,7.181000,2.856719e+001
111,2018-06-20 10:44:06.254000,7.240000,2.856635e+001
112,2018-06-20 10:44:06.317000,7.303000,2.856888e+001
113,2018-06-20 10:44:06.380000,7.366000,2.859798e+001
114,2018-06-20 10:44:06.443000,7.429000,2.861147e+001
115,2018-06-20 10:44:06.591000,7.577000,2.862623e+001
